3Ltr,Company,Country,Telephony,FriendlyName
ALU,AIR LUXOR STP,SAO TOME AND PRINCIPE,LUXORJET,Air Luxor
ALV,AEROPOSTAL ALAS DE VENEZUELA,VENEZUELA,AEROPOSTAL,Aeropostal Alas de Venezuela
ALW,AIRCRAFT LEASING SERVICES LIMITED,KENYA,,Aircraft Leasing Services Limited
ALX,ALPI JETS GMBH,AUSTRIA,ALPIJETS,ALPI Jets
ALZ,AZURE AVIATION LTD,BAHAMAS,AZURE,Azure Aviation
AMA,AIRCOMPANY MOALEM AVIATION,KYRGYZSTAN,MOALEM,Moalem Aviation
AMB,"DRF - STIFTUNG LUFTRETTUNG GEMEINNUETZIGE AG, FILDERSTADT",GERMANY,CIVIL AIR AMBULANCE,DRF Luftrettung
AMC,AIR MALTA PLC.,MALTA,AIR MALTA,Air Malta
AMD,SA RED CROSS AIR MERCY SERVICE,SOUTH AFRICA,MERCY WING,Red Cross Air Mercy Service
AME,AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA,SPAIN,AIRMIL,Spanish Air Force
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)",UNITED STATES,AMFLIGHT,Ameriflight
AMG,AIR MINAS LINHAS AEREAS LTDA.,BRAZIL,AIR MINAS,Air Minas Linhas Aereas
AMH,AIR MACRAN,IRAN (ISLAMIC REPUBLIC OF),MACRAN,Air Marcran
AMI,"AIR AMERICA, INC. (CAROLINA, PR)",UNITED STATES,AIRMEK,Air America
AMJ,AMJET EXECUTIVE S.A.,GREECE,AMJET EXEC,Amjet Executive
AMK,AMAC CORPORATE JET AG,SWITZERLAND,AMAC,Amac Corporate Jet AG
AML,AIR MALAWI,MALAWI,MALAWI,Air Malawi
AMM,MET EXPRESS AIR CORP.,PHILIPPINES,METAVIA,Met Express Air
AMN,AIR MONTENEGRO,MONTENEGRO,MONTENEGRO,Air Montenegro
AMO,ANGEL MARTINEZ RIDAO (SAETA),SPAIN,,Angel Martinez Ridao
AMP,AERO TRANSPORTE S.A. (ATSA),PERU,ATSA,Atsa Airlines
AMQ,AMC AVIATION SP. Z O. O.,POLAND,AMEX,Amc Aviation
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)",UNITED STATES,AIR AM,Air Specialties Corporation
AMS,AMERICA DO SUL TAXI AEREO LTDA.,BRAZIL,,America Do Sul Taxi Aereo
AMT,AIR MOUNTAIN,SWITZERLAND,AIR MOUNTAIN,Air Mountain
AMU,AIR MACAU,CHINA,AIR MACAU,Air Macau
AMV,AIRCRAFT MAINTENANCE COMPANY (AMC AIRLINES),EGYPT,,AMC Airlines
AMW,ARMENIA AIRWAYS AIR COMPANY,ARMENIA,,Armenia Airways
AMX,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO,AEROMEXICO,Aeromexico
AMY,AIR MANDALAY LIMITED,MYANMAR,AIR MANDALAY,Air Mandalay Limited
AMZ,AMIYI AIRLINE LIMITED,NIGERIA,AMIYI AIR,Amiya Airline
ANA,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,ALL NIPPON,All Nippon Airways
ANB,AIR NAVIGATION AND TRADING CO. LTD.,UNITED KINGDOM,AIR NAV,Air Navigation and Trading
ANC,AVIAN LINEAS AEREAS S.A. - AVIANCA ARGENTINA,ARGENTINA,AVIAN,Avian Lineas Aereas
AND,SERVICIOS AEREOS DE LOS ANDES S.A.C.,PERU,SERVI ANDES,Servicios Aereos De Los Andes
ANE,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",SPAIN,NOSTRU AIR,Air Nostrum
ANG,AIR NIUGINI,PAPUA NEW GUINEA,NIUGINI,Air Niugini
ANI,AIR ATLANTIC (NIG) LIMITED,NIGERIA,NIGALANTIC,Air Atlantic Limited
